Category,CrimeGroup,Description,City,State,Zip,Latitude,Longitude,Date
15,A,stat he left his vehic run unattend mom to purchas pack of cigaret upon return he heard the driv door clos and the vehic sped off in the direct of massachuset av se gav no on permit to us his vehic,Washington,DC,20020,38.8712397400126,-76.9411354138646,
15,A,the complain stat that an unknown person brok into the list vehic and stol the list property,Washington,DC,20011,38.9450638074324,-77.0336205180169,
15,A,the complain stat that the suspect walk into the list loc put on jacket and pass al the reg bef walk out of the door,Washington,DC,20011,38.963236408188,-77.027847619964,
15,A,the complain stat an unknown person stol the list vehic,Washington,DC,20011,38.9514315518022,-77.023804868827,
15,A,report unk person stol the list property from the list loc,Washington,DC,20003,38.8812724401512,-77.001309547115,
15,A,report unk person stol the list property from the list loc,Washington,DC,20003,38.8847304096315,-76.9860290195106,
15,A,report unk person stol the list vehic from it park posit from the list loc key and reg with own,Washington,DC,20003,38.8875936011647,-76.9932031508748,
15,A,report that som person stol the list property item from the list loc by unknown mean,Washington,DC,20032,38.826997380925,-77.011301050437,
5,A,report return hom from work and find her back door lock destroy and her furnit in disarray noth was tak,Washington,DC,20020,38.8594607475622,-76.9981415586377,
15,A,report unk person stol the list property from the list loc,Washington,DC,20001,38.8991300563263,-77.0219166287963,
15,A,report that stol the list property from her hom whil was temp stay ther admit to tak property and return som of property by mail was housedog sit for,Washington,DC,20015,38.9635451878712,-77.0771455079072,
20,A,report for that approach with black semiautom handgun and stat get back in the stor at that tim push out of the list loc and sec the door report that left on foot wb on st ne,Washington,DC,20002,38.9002041633917,-76.9955641548523,
5,A,report return hom and find the lock to his front door dam and the list property miss,Washington,DC,20032,38.839071056405,-76.9984542367943,
15,A,report unk person stol the list vehic from it park posit from the list loc,Washington,DC,20003,38.877967681071,-77.0046998895452,
15,A,report unk person stol the list vehic from it park posit from the list loc key with driv reg in vehic,Washington,DC,20003,38.8841004740514,-76.9798816630814,
3,A,report that whil walk in the list loc that approach her ask so you dont want to be with me phys alterc ensu result in pul out pocket knif and attempt to stab,Washington,DC,20020,38.8445070684479,-76.9722478663343,
15,A,report unk person stol the list vehic from it park posit from the list loc key and reg with own,Washington,DC,20003,38.8832346326448,-77.0047052788753,
15,A,report that unknown suspect ent the list vehic by break the driversid window and stol the list property from within,Washington,DC,20012,38.9641886228296,-77.0093508616714,
15,A,report for that unknown suspect punch the rear lock of the list vehic and stol the list property from within,Washington,DC,20011,38.9627494779849,-76.9997346181204,
20,A,report he was approach by and ask for cigaret and comply and eng in brief convers as walk away punch on the right sid of his head knock unconscy,Washington,DC,20008,38.9245256071934,-77.0521276621793,
20,A,on the list dat tim and loc report that was driv her to the stor in the list vehic whil in the rear alley of the block of plac se adv that she had to urin and exit the vehic,Washington,DC,20020,38.8694757297873,-76.9766592724249,
15,A,report that unknown person smash the right rear passeng sid window to the list vehic ont insid the list property was stol stat his credit card wer us by unknown person,Washington,DC,20008,38.9422162143336,-77.0765066014208,
15,A,report on the list dat and tim was wait at the list loc for her friend she was approach by and verb alterc beg cal her moth on her cel phon at which tim the phon was drop the remain ner is unavail,Washington,DC,20002,38.907068274544,-76.9854921330035,
15,A,report that the list property was in plain veiw on tabl insid his hotel room discov that the list property had been stol stat the electron lock on his door was not work had sev rel stay with him,Washington,DC,20008,38.9473148361211,-77.0653444354882,
15,A,report on the list dat between the list tim ent into serv agr with left her vehic return back to the list loc and ret her vehic aft the agree serv was provid fail to pay,Washington,DC,20002,38.9046406879318,-76.9804353838247,
20,A,report that his vehcil was struck by vehcil pul ov in the blk of webst st nw and got out of the list vehcil leav in the driv seat approach with rifl or autom hand gun and ord not to mov,Washington,DC,20011,38.9440966618134,-77.02258760578,
5,A,report on the list dat and tim unknown suspect ent the list loc through the rear window ont insid the list proeprty was stol,Washington,DC,20001,38.9091407440637,-77.0090519441189,
3,A,on the list dat tim and loc report to mpd thatsh was walk down the stairwel of her apart build smok cigaret was sit at the bottom of the stairwel as approach and stat to hey you got anoth the rest of the ner is unavail,Washington,DC,20019,38.8848552715651,-76.9272746969882,
5,A,report on the list dat between the list tim through ent the rear door of the list loc and stol the list property adv that through fled northbound in the rear of the loc,Washington,DC,20018,38.9266493319393,-76.9701430746895,
