Category,CrimeGroup,Description,City,State,Zip,Latitude,Longitude,Date
15,A,wom wallet stol block arlington boulevard monday jun,Falls Church,VA,22042,38.8666687,-77.1936913,2009-5-17
1,B,two peopl charg simpl assault alterc monday jun,Alexandria,VA,22312,38.8132644,-77.1499891,2009-5-15
20,A,pol releas composit sketch on suspect robbery man friday jun,Springfield,VA,22150,38.777368,-77.174197,2009-5-17
1,B,man arrest peep off saw look window,Alexandria,VA,22310,38.792384,-77.139799,2009-5-17
1,B,pol arrest man touch inappropry outsid shop cent,Centreville,VA,,38.867009,-77.463526,2009-5-17
1,B,man car stol block heron neck lan wednesday jun the,Fairfax,VA,22033,38.857638,-77.403854,2009-5-17
20,A,pol respond robbery block warm hear circ wednesday jun,Fairfax,VA,22033,38.860443,-77.402981,2009-5-17
15,A,licens plat stol vehic,Centreville,VA,20121,38.819914,-77.43242,2009-5-17
15,A,purs stol vehic,Centreville,VA,20121,38.829477,-77.432694,2009-5-17
15,A,camer equip stol vehic,Centreville,VA,20120,38.838135,-77.452744,2009-5-17
15,A,hood stol vehic,Chantilly,VA,20151,38.898128,-77.452302,2009-5-17
15,A,tool stol vehic,Centreville,VA,20121,38.8308114,-77.4599132,2009-5-17
15,A,purs stol busy,Centreville,VA,20121,38.8371008,-77.4414005,2009-5-17
17,A,hond motorcyc,Centreville,VA,20121,38.8353257,-77.4201702,2009-5-17
17,A,mercedesbenz,,VA,,37.4315734,-78.6568942,2009-5-17
17,A,suzuk,Centreville,VA,20121,38.837061,-77.4215549,2009-5-17
15,A,cellul phon driv licens cloth car key stol busy,Alexandria,VA,22309,38.7294208,-77.1144942,2009-5-17
15,A,bicyc stol resid,Alexandria,VA,22309,38.7327727,-77.0933165,2009-5-17
15,A,ipod stol school,Alexandria,VA,22308,38.7298677,-77.0569871,2009-5-17
15,A,bicyc stol resid,Alexandria,VA,22306,38.7610194,-77.0894599,2009-5-17
15,A,beer stol busy,Alexandria,VA,22306,38.759361,-77.085024,2009-5-17
15,A,flow pot stol resid,Alexandria,VA,22309,38.7162339,-77.1091551,2009-5-17
15,A,licens plat stol vehic,Alexandria,VA,22306,38.7572213,-77.0724742,2009-5-17
15,A,temp tag stol vehic,Alexandria,VA,22306,38.7787808,-77.0798574,2009-5-17
